"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O990","2020-02-08 00:00:00","18.000","9.000","1.800","15.500","0.990","1019.300","","0.000","-99.000","-99.000","-99.000","25.000","","15.300",""
"C0C680","2020-02-08 00:00:00","228.000","29.000","3.300","13.500","0.860","996.400","","4.500","-99.000","-99.000","-99.000","15.600","","12.600",""
"C0D360","2020-02-08 00:00:00","523.000","0.000","0.000","12.600","1.000","961.400","","5.000","-99.000","-99.000","-99.000","15.100","","12.100",""
"C0C710","2020-02-08 00:00:00","143.000","310.000","0.600","13.700","0.990","1008.900","","10.000","-99.000","-99.000","-99.000","16.400","","13.200",""
"C0Z190","2020-02-08 00:00:00","62.000","165.000","1.400","18.700","0.890","1015.300","","0.000","-99.000","-99.000","-99.000","22.400","","17.800",""
"C0Z020","2020-02-08 00:00:00","211.000","22.000","4.600","16.700","0.990","997.600","","1.500","-99.000","-99.000","-99.000","25.800","","13.600",""
"C0I380","2020-02-08 00:00:00","258.000","0.000","0.000","14.900","0.960","990.600","","0.000","-99.000","-99.000","-99.000","25.200","","14.200",""
"C0D560","2020-02-08 00:00:00","147.000","39.000","2.200","14.500","0.840","1007.400","","4.500","7.500","76.000","","16.600","","13.600",""
"C0Z220","2020-02-08 00:00:00","589.000","0.000","0.000","13.800","1.000","956.000","","0.000","-99.000","-99.000","-99.000","21.500","","13.700",""
"C0R220","2020-02-08 00:00:00","23.000","273.000","1.000","17.900","1.000","1018.500","","0.000","-99.000","-99.000","-99.000","26.700","","16.100",""
"C0A870","2020-02-08 00:00:00","685.000","17.000","5.100","10.300","1.000","943.500","","5.000","-99.000","-99.000","-99.000","14.500","","10.300",""
"C0V670","2020-02-08 00:00:00","20.000","348.000","3.600","16.300","0.860","1018.700","","0.000","-99.000","-99.000","-99.000","24.700","","16.300",""
"C0G770","2020-02-08 00:00:00","15.000","22.000","2.100","16.900","0.790","1020.100","","0.000","-99.000","-99.000","-99.000","20.900","","15.700",""
"C0C540","2020-02-08 00:00:00","46.000","41.000","2.900","15.800","0.750","1019.700","","5.500","-99.000","-99.000","-99.000","17.000","","13.600",""
"C0F9O0","2020-02-08 00:00:00","175.000","34.000","0.300","15.300","1.000","1000.900","","0.000","-99.000","-99.000","-99.000","22.600","","14.700",""
"C0Z230","2020-02-08 00:00:00","31.000","2.000","12.600","18.500","0.660","1019.600","","0.000","-99.000","-99.000","-99.000","21.600","","17.700",""
"C0U900","2020-02-08 00:00:00","63.000","349.000","0.500","15.900","0.960","1019.000","","0.000","-99.000","-99.000","-99.000","22.800","","15.700",""
"C0X200","2020-02-08 00:00:00","61.000","312.000","2.200","15.300","0.970","1014.100","","0.000","-99.000","-99.000","-99.000","24.200","","14.300",""
"C0G640","2020-02-08 00:00:00","17.000","20.000","4.200","16.400","0.800","1022.600","","0.000","-99.000","-99.000","-99.000","20.300","","14.800",""
"C0E430","2020-02-08 00:00:00","258.000","1.000","2.100","14.300","0.850","996.700","","5.500","-99.000","-99.000","-99.000","16.500","","12.800",""
"C0D390","2020-02-08 00:00:00","146.000","0.000","0.000","14.400","0.900","1005.600","","4.000","-99.000","-99.000","-99.000","16.800","","13.600",""
"C0T9F0","2020-02-08 00:00:00","251.000","69.000","0.500","15.400","0.930","994.300","","1.500","-99.000","-99.000","-99.000","24.000","","15.400",""
"C0R350","2020-02-08 00:00:00","35.000","36.000","3.700","21.500","0.860","1016.800","","0.000","-99.000","-99.000","-99.000","27.600","","19.700",""
"C0K550","2020-02-08 00:00:00","15.000","9.000","2.600","15.800","0.810","1020.600","","0.000","-99.000","-99.000","-99.000","22.400","","15.200",""
"C0C670","2020-02-08 00:00:00","250.000","26.000","1.900","13.100","0.920","995.700","","4.500","-99.000","-99.000","-99.000","15.200","","12.400",""
"C0A980","2020-02-08 00:00:00","11.000","334.000","2.000","15.800","0.830","1024.700","","2.500","-99.000","-99.000","-99.000","17.800","","14.600",""
"C0UA60","2020-02-08 00:00:00","566.000","359.000","3.900","12.500","0.930","957.200","","0.000","-99.000","-99.000","-99.000","21.700","","12.500",""
"C0V720","2020-02-08 00:00:00","15.000","36.000","1.500","18.000","0.810","1019.300","","0.000","-99.000","-99.000","-99.000","27.000","","17.400",""
"C0C480","2020-02-08 00:00:00","105.000","130.000","0.500","15.000","0.810","1012.600","","8.000","-99.000","-99.000","-99.000","17.000","","13.700",""
"C0C700","2020-02-08 00:00:00","151.000","51.000","1.800","14.300","0.840","1007.600","","9.500","-99.000","-99.000","-99.000","16.000","","12.900",""
"C0R100","2020-02-08 00:00:00","1006.000","267.000","0.800","15.300","0.890","908.900","","0.000","-99.000","-99.000","-99.000","22.600","","12.800",""
"C0X120","2020-02-08 00:00:00","28.000","355.000","3.300","15.500","0.880","1019.700","","0.000","-99.000","-99.000","-99.000","23.900","","15.500",""
"C0R670","2020-02-08 00:00:00","26.000","51.000","2.700","21.600","0.750","1018.700","","0.000","-99.000","-99.000","-99.000","25.500","","18.200",""
"C0W110","2020-02-08 00:00:00","16.000","-99.000","-99.000","11.800","0.820","1025.600","","2.000","-99.000","-99.000","-99.000","11.900","","9.900",""
"CM0130","2020-02-08 00:00:00","11.000","356.000","6.300","16.900","0.770","1021.200","","0.000","-99.000","-99.000","-99.000","20.300","","16.500",""
"C0AC70","2020-02-08 00:00:00","71.000","78.000","0.800","15.400","0.850","1016.700","","3.000","-99.000","-99.000","-99.000","18.400","","15.100",""
"CM0100","2020-02-08 00:00:00","25.000","84.000","3.300","16.100","0.730","1021.300","","3.000","-99.000","-99.000","-99.000","17.000","","14.000",""
"C0X050","2020-02-08 00:00:00","25.000","25.000","4.100","15.700","0.910","1017.600","","0.000","-99.000","-99.000","-99.000","24.600","","15.500",""
"C0K580","2020-02-08 00:00:00","26.000","6.000","2.200","15.500","0.990","1020.400","","0.000","-99.000","-99.000","-99.000","23.500","","15.100",""
"C0G650","2020-02-08 00:00:00","34.000","354.000","0.700","16.200","0.990","1017.700","","0.000","-99.000","-99.000","-99.000","24.700","","16.000",""
"C0T9B0","2020-02-08 00:00:00","558.000","0.000","0.100","13.600","0.990","959.600","","5.000","-99.000","-99.000","-99.000","20.400","","13.500",""
"C0E850","2020-02-08 00:00:00","104.000","33.000","1.300","15.000","0.850","1010.900","","6.000","-99.000","-99.000","-99.000","16.800","","13.200",""
"C0S990","2020-02-08 00:00:00","409.000","7.000","4.300","17.300","0.970","975.500","","3.000","-99.000","-99.000","-99.000","24.200","","17.300",""
"C0X240","2020-02-08 00:00:00","394.000","345.000","0.500","13.300","0.970","976.400","","0.000","-99.000","-99.000","-99.000","23.100","","13.300",""
"C0I090","2020-02-08 00:00:00","910.000","187.000","0.700","14.000","0.980","918.800","","0.000","-99.000","-99.000","-99.000","19.500","","12.400",""
"C0I490","2020-02-08 00:00:00","1601.000","230.000","1.400","10.900","0.990","846.700","","0.000","-99.000","-99.000","-99.000","21.100","","10.700",""
"C0S900","2020-02-08 00:00:00","27.000","46.000","3.200","21.200","0.840","1018.900","","18.500","9.200","89.000","","26.300","","21.000",""
"C0SA00","2020-02-08 00:00:00","466.000","114.000","1.900","16.600","0.970","968.600","","0.000","-99.000","-99.000","-99.000","24.200","","14.400",""
"C0V730","2020-02-08 00:00:00","33.000","353.000","2.800","16.600","0.990","1017.800","","0.000","-99.000","-99.000","-99.000","25.900","","16.600",""
"C0G730","2020-02-08 00:00:00","27.000","17.000","7.100","15.800","0.900","1019.600","","0.000","-99.000","-99.000","-99.000","20.000","","14.400",""
"C0Z300","2020-02-08 00:00:00","182.000","15.000","1.700","17.000","0.990","1003.300","","5.500","-99.000","-99.000","-99.000","25.300","","13.700",""
"C0H9A0","2020-02-08 00:00:00","1595.000","229.000","0.300","9.400","0.880","850.700","","0.000","-99.000","-99.000","-99.000","20.300","","9.400",""
"C0S840","2020-02-08 00:00:00","22.000","8.000","1.800","20.100","0.900","1021.400","","18.000","-99.000","-99.000","-99.000","26.000","","18.400",""
"C0Z150","2020-02-08 00:00:00","27.000","33.000","7.000","19.300","0.730","1020.300","","0.000","-99.000","-99.000","-99.000","22.700","","15.500",""
"C0W170","2020-02-08 00:00:00","42.000","42.000","7.900","11.200","0.800","1021.200","","2.000","-99.000","-99.000","-99.000","12.000","","9.100",""
"C0E540","2020-02-08 00:00:00","32.000","40.000","5.200","15.700","0.800","1020.300","","2.000","-99.000","-99.000","-99.000","17.200","","13.800",""
"C0D660","2020-02-08 00:00:00","65.000","54.000","2.400","15.300","0.800","1016.700","","3.500","7.500","41.000","","16.700","","13.600",""
"C0U650","2020-02-08 00:00:00","442.000","0.000","0.100","12.800","1.000","973.700","","0.500","-99.000","-99.000","-99.000","21.800","","12.700",""
"C0G810","2020-02-08 00:00:00","26.000","358.000","1.600","16.500","0.850","1018.400","","0.000","-99.000","-99.000","-99.000","22.700","","15.600",""
"C0F9Z0","2020-02-08 00:00:00","3193.000","282.000","2.600","0.800","0.770","697.400","","1.000","-99.000","-99.000","-99.000","5.700","","0.100",""
"C0M410","2020-02-08 00:00:00","245.000","337.000","0.800","15.100","0.960","988.700","","0.000","-99.000","-99.000","-99.000","27.300","","13.500",""
"C0I410","2020-02-08 00:00:00","180.000","0.000","0.000","14.800","0.880","1000.300","","0.000","-99.000","-99.000","-99.000","23.500","","14.400",""
"C0R840","2020-02-08 00:00:00","536.000","47.000","7.300","16.800","-99.000","959.700","","7.500","-99.000","-99.000","-99.000","24.900","","16.800",""
"C0K250","2020-02-08 00:00:00","12.000","18.000","5.800","15.900","0.830","1020.700","","0.000","-99.000","-99.000","-99.000","23.200","","14.800",""
"C0AH80","2020-02-08 00:00:00","68.000","350.000","0.300","14.500","0.940","1016.700","","3.000","-99.000","-99.000","-99.000","17.400","","14.400",""
"C0V640","2020-02-08 00:00:00","35.000","21.000","3.500","15.700","0.900","1017.600","","0.000","-99.000","-99.000","-99.000","24.300","","15.700",""
"C0S920","2020-02-08 00:00:00","98.000","0.000","0.000","19.600","0.890","1006.100","","0.500","-99.000","-99.000","-99.000","25.400","","16.500",""
"C0S830","2020-02-08 00:00:00","288.000","25.000","2.400","16.500","0.940","991.500","","0.000","-99.000","-99.000","-99.000","25.600","","16.400",""
"C0V800","2020-02-08 00:00:00","256.000","301.000","0.400","17.200","0.940","989.400","","0.000","-99.000","-99.000","-99.000","26.600","","15.500",""
"C0R140","2020-02-08 00:00:00","740.000","168.000","0.300","16.800","0.800","939.000","","0.000","-99.000","-99.000","-99.000","22.600","","14.500",""
"C0K410","2020-02-08 00:00:00","20.000","21.000","4.500","15.600","0.820","1018.700","","0.000","-99.000","-99.000","-99.000","22.500","","14.900",""
"C0F000","2020-02-08 00:00:00","273.000","29.000","3.800","13.800","0.990","987.300","","0.000","-99.000","-99.000","-99.000","19.500","","12.500",""
"C0W150","2020-02-08 00:00:00","42.000","51.000","5.700","13.700","0.800","1020.800","","0.500","-99.000","-99.000","-99.000","16.600","","12.700",""
"C0AH90","2020-02-08 00:00:00","660.000","302.000","0.300","11.800","0.970","951.200","","0.500","-99.000","-99.000","-99.000","20.200","","11.600",""
"C0F9K0","2020-02-08 00:00:00","30.000","25.000","5.800","15.700","0.820","1017.600","","0.000","12.000","38.000","","18.300","","14.100",""
"C0H990","2020-02-08 00:00:00","3076.000","209.000","6.600","1.000","0.990","707.700","","0.000","-99.000","-99.000","-99.000","3.900","","0.700",""
"C0V260","2020-02-08 00:00:00","126.000","177.000","0.500","15.300","0.990","1006.300","","0.000","-99.000","-99.000","-99.000","27.700","","13.300",""
"C0S970","2020-02-08 00:00:00","19.000","351.000","2.000","20.000","0.840","1020.000","","20.000","-99.000","-99.000","-99.000","24.800","","19.400",""
"C0A570","2020-02-08 00:00:00","360.000","0.000","0.000","12.800","0.990","983.600","","8.000","-99.000","-99.000","-99.000","14.800","","12.800",""
"C0M800","2020-02-08 00:00:00","440.000","0.000","0.000","15.700","0.920","970.700","","0.000","-99.000","-99.000","-99.000","25.300","","13.000",""
"C0E870","2020-02-08 00:00:00","34.000","33.000","4.200","15.600","0.800","1021.600","","2.000","-99.000","-99.000","-99.000","17.300","","13.800",""
"C0V490","2020-02-08 00:00:00","20.000","359.000","3.700","16.500","0.990","1018.900","","0.000","-99.000","-99.000","-99.000","24.300","","16.500",""
"C0M710","2020-02-08 00:00:00","15.000","11.000","4.900","16.300","0.800","1020.200","","0.000","11.500","10.000","","21.700","","15.100",""
"C0D570","2020-02-08 00:00:00","15.000","20.000","0.900","15.400","0.850","1022.600","","2.000","-99.000","-99.000","-99.000","16.900","","13.600",""
"C0S910","2020-02-08 00:00:00","212.000","91.000","1.300","20.000","0.990","997.600","","34.500","6.600","38.000","","25.700","","19.900",""
"C0M650","2020-02-08 00:00:00","20.000","12.000","3.200","15.600","0.840","1020.000","","0.000","-99.000","-99.000","-99.000","22.500","","15.200",""
"C0K280","2020-02-08 00:00:00","23.000","8.000","5.200","16.000","0.820","1021.600","","0.000","-99.000","-99.000","-99.000","22.700","","15.100",""
"C0X310","2020-02-08 00:00:00","9.000","13.000","8.600","16.500","0.810","1021.600","","0.000","-99.000","-99.000","-99.000","21.700","","16.100",""
